Export File Created with QBlade v0.963 32bit on 01.11.2021 at 11:50:59
        TSR 5 Simulation                TSR 6 Simulation                TSR 7 Simulation                TSR 8 Simulation
          TSR 		Cp 		TSR 		Cp 		TSR 		Cp 		TSR 		Cp
     1.00000e+00     3.10859e-02     1.00000e+00     2.26421e-02     1.00000e+00     1.70979e-02     1.00000e+00     1.32907e-02
     1.50000e+00     4.78709e-02     1.50000e+00     3.47919e-02     1.50000e+00     2.62728e-02     1.50000e+00     2.04494e-02
     2.00000e+00     7.31265e-02     2.00000e+00     5.20478e-02     2.00000e+00     3.88737e-02     2.00000e+00     3.00681e-02
     2.50000e+00     1.25653e-01     2.50000e+00     8.48877e-02     2.50000e+00     6.18007e-02     2.50000e+00     4.70655e-02
     3.00000e+00     2.58006e-01     3.00000e+00     1.63454e-01     3.00000e+00     1.14139e-01     3.00000e+00     8.46324e-02
     3.50000e+00     4.58300e-01     3.50000e+00     2.93758e-01     3.50000e+00     2.03931e-01     3.50000e+00     1.50033e-01
     4.00000e+00     5.29020e-01     4.00000e+00     4.43165e-01     4.00000e+00     3.17186e-01     4.00000e+00     2.35346e-01
     4.50000e+00     5.31769e-01     4.50000e+00     5.19292e-01     4.50000e+00     4.27740e-01     4.50000e+00     3.29315e-01
     5.00000e+00     5.02918e-01     5.00000e+00     5.32081e-01     5.00000e+00     4.94546e-01     5.00000e+00     4.10571e-01
     5.50000e+00     4.86509e-01     5.50000e+00     5.35551e-01     5.50000e+00     5.15662e-01     5.50000e+00     4.65497e-01
     6.00000e+00     4.63770e-01     6.00000e+00     5.26953e-01     6.00000e+00     5.27956e-01     6.00000e+00     4.91450e-01
     6.50000e+00     4.38841e-01     6.50000e+00     5.03967e-01     6.50000e+00     5.33398e-01     6.50000e+00     5.08336e-01
     7.00000e+00     4.12589e-01     7.00000e+00     4.80686e-01     7.00000e+00     5.59055e-01     7.00000e+00     5.20430e-01
     7.50000e+00     3.84747e-01     7.50000e+00     4.55725e-01     7.50000e+00     5.21730e-01     7.50000e+00     5.28034e-01
     8.00000e+00     3.52472e-01     8.00000e+00     4.30592e-01     8.00000e+00     4.94271e-01     8.00000e+00     5.53628e-01
     8.50000e+00     3.18335e-01     8.50000e+00     4.03744e-01     8.50000e+00     4.69450e-01     8.50000e+00     5.58222e-01
     9.00000e+00     2.78860e-01     9.00000e+00     3.75138e-01     9.00000e+00     4.45348e-01     9.00000e+00     5.09765e-01
     9.50000e+00     2.37291e-01     9.50000e+00     3.43844e-01     9.50000e+00     4.20092e-01     9.50000e+00     4.81065e-01
     1.00000e+01     1.89707e-01     1.00000e+01     3.10311e-01     1.00000e+01     3.93342e-01     1.00000e+01     4.57584e-01

