Export File Created with QBlade v0.963 32bit on 01.11.2021 at 12:18:10
          200 RPM (5 TSR)                 200 RPM (6 TSR)                 200 RPM (7 TSR)                 200 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     1.87515e+00     2.00000e+00     4.89963e+00     2.00000e+00     7.04012e+00
     2.50000e+00     7.99443e+00     2.50000e+00     1.32625e+01     2.50000e+00     1.69001e+01     2.50000e+00     1.97020e+01
     3.00000e+00     2.44665e+01     3.00000e+00     3.07870e+01     3.00000e+00     3.55683e+01     3.00000e+00     4.01807e+01
     3.50000e+00     4.78658e+01     3.50000e+00     5.61026e+01     3.50000e+00     6.40434e+01     3.50000e+00     6.22113e+01
     4.00000e+00     7.97663e+01     4.00000e+00     9.09403e+01     4.00000e+00     9.43167e+01     4.00000e+00     8.89304e+01
     4.50000e+00     1.22035e+02     4.50000e+00     1.39567e+02     4.50000e+00     1.30808e+02     4.50000e+00     1.19095e+02
     5.00000e+00     1.73874e+02     5.00000e+00     1.84456e+02     5.00000e+00     1.71891e+02     5.00000e+00     1.43468e+02
     5.50000e+00     2.40919e+02     5.50000e+00     2.40581e+02     5.50000e+00     2.02963e+02     5.50000e+00     1.57538e+02
     6.00000e+00     3.17140e+02     6.00000e+00     2.91510e+02     6.00000e+00     2.16363e+02     6.00000e+00     1.62162e+02
     6.50000e+00     4.01686e+02     6.50000e+00     3.08334e+02     6.50000e+00     2.17226e+02     6.50000e+00     1.60445e+02
     7.00000e+00     4.66319e+02     7.00000e+00     3.04326e+02     7.00000e+00     2.12063e+02     7.00000e+00     1.56082e+02
     7.50000e+00     4.64247e+02     7.50000e+00     2.93906e+02     7.50000e+00     2.03377e+02     7.50000e+00     1.49497e+02
     8.00000e+00     4.41623e+02     8.00000e+00     2.78462e+02     8.00000e+00     1.93147e+02     8.00000e+00     1.42462e+02
     8.50000e+00     4.13239e+02     8.50000e+00     2.62709e+02     8.50000e+00     1.83869e+02     8.50000e+00     1.36601e+02
     9.00000e+00     3.86420e+02     9.00000e+00     2.50611e+02     9.00000e+00     1.77638e+02     9.00000e+00     1.33017e+02
     9.50000e+00     3.67267e+02     9.50000e+00     2.42986e+02     9.50000e+00     1.73969e+02     9.50000e+00     1.30868e+02
     1.00000e+01     3.54841e+02     1.00000e+01     2.38947e+02     1.00000e+01     1.73627e+02     1.00000e+01     1.32128e+02

