Export File Created with QBlade v0.963 32bit on 01.11.2021 at 12:21:23
                 300 RPM (5 TSR)                 300 RPM (6 TSR)                 300 RPM (7 TSR)                 300 RPM (8 TSR)
 	V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     5.75749e+00
     3.00000e+00     0.00000e+00     3.00000e+00     6.32862e+00     3.00000e+00     1.65363e+01     3.00000e+00     2.37604e+01
     3.50000e+00     1.29600e+01     3.50000e+00     2.99101e+01     3.50000e+00     4.13274e+01     3.50000e+00     4.98046e+01
     4.00000e+00     4.33677e+01     4.00000e+00     6.18096e+01     4.00000e+00     7.52062e+01     4.00000e+00     8.59815e+01
     4.50000e+00     8.25743e+01     4.50000e+00     1.03906e+02     4.50000e+00     1.20043e+02     4.50000e+00     1.35610e+02
     5.00000e+00     1.32412e+02     5.00000e+00     1.57171e+02     5.00000e+00     1.79735e+02     5.00000e+00     1.83044e+02
     5.50000e+00     1.93815e+02     5.50000e+00     2.24543e+02     5.50000e+00     2.46032e+02     5.50000e+00     2.38429e+02
     6.00000e+00     2.69211e+02     6.00000e+00     3.06923e+02     6.00000e+00     3.18319e+02     6.00000e+00     3.00140e+02
     6.50000e+00     3.60478e+02     6.50000e+00     4.13554e+02     6.50000e+00     3.98414e+02     6.50000e+00     3.67763e+02
     7.00000e+00     4.66231e+02     7.00000e+00     5.07829e+02     7.00000e+00     4.86422e+02     7.00000e+00     4.33415e+02
     7.50000e+00     5.86826e+02     7.50000e+00     6.22538e+02     7.50000e+00     5.80133e+02     7.50000e+00     4.84204e+02
     8.00000e+00     7.27478e+02     8.00000e+00     7.47150e+02     8.00000e+00     6.57409e+02     8.00000e+00     5.19426e+02
     8.50000e+00     9.11703e+02     8.50000e+00     8.78571e+02     8.50000e+00     7.06804e+02     8.50000e+00     5.40315e+02
     9.00000e+00     1.07035e+03     9.00000e+00     9.83845e+02     9.00000e+00     7.30225e+02     9.00000e+00     5.47296e+02
     9.50000e+00     1.25621e+03     9.50000e+00     1.03266e+03     9.50000e+00     7.35502e+02     9.50000e+00     5.45163e+02
     1.00000e+01     1.45290e+03     1.00000e+01     1.03993e+03     1.00000e+01     7.28223e+02     1.00000e+01     5.37640e+02

