Export File Created with QBlade v0.963 32bit on 01.11.2021 at 17:22:55
        TSR 5 Simulation                TSR 6 Simulation                TSR 7 Simulation                TSR 8 Simulation
 	  TSR		  Cp 		  TSR 		  Cp 		  TSR 		  Cp 		  TSR 		  Cp
     1.00000e+00     3.91620e-02     1.00000e+00     2.83009e-02     1.00000e+00     2.12626e-02     1.00000e+00     1.64912e-02
     1.50000e+00     6.69567e-02     1.50000e+00     4.80722e-02     1.50000e+00     3.60496e-02     1.50000e+00     2.79589e-02
     2.00000e+00     1.16695e-01     2.00000e+00     8.16762e-02     2.00000e+00     6.03775e-02     2.00000e+00     4.64409e-02
     2.50000e+00     2.16794e-01     2.50000e+00     1.45662e-01     2.50000e+00     1.05311e-01     2.50000e+00     7.99416e-02
     3.00000e+00     3.59348e-01     3.00000e+00     2.48057e-01     3.00000e+00     1.79977e-01     3.00000e+00     1.36243e-01
     3.50000e+00     4.57066e-01     3.50000e+00     3.50424e-01     3.50000e+00     2.61335e-01     3.50000e+00     2.00289e-01
     4.00000e+00     5.13401e-01     4.00000e+00     4.27675e-01     4.00000e+00     3.37661e-01     4.00000e+00     2.64628e-01
     4.50000e+00     5.35143e-01     4.50000e+00     4.82438e-01     4.50000e+00     4.02589e-01     4.50000e+00     3.26841e-01
     5.00000e+00     5.13288e-01     5.00000e+00     5.20747e-01     5.00000e+00     4.51835e-01     5.00000e+00     3.79997e-01
     5.50000e+00     4.87177e-01     5.50000e+00     5.37332e-01     5.50000e+00     4.92793e-01     5.50000e+00     4.24994e-01
     6.00000e+00     4.62284e-01     6.00000e+00     5.43382e-01     6.00000e+00     5.21120e-01     6.00000e+00     4.63926e-01
     6.50000e+00     4.36458e-01     6.50000e+00     5.03954e-01     6.50000e+00     5.34583e-01     6.50000e+00     4.94905e-01
     7.00000e+00     4.08028e-01     7.00000e+00     4.78963e-01     7.00000e+00     5.49465e-01     7.00000e+00     5.16099e-01
     7.50000e+00     3.77247e-01     7.50000e+00     4.53523e-01     7.50000e+00     5.20391e-01     7.50000e+00     5.29370e-01
     8.00000e+00     3.43893e-01     8.00000e+00     4.27316e-01     8.00000e+00     4.92909e-01     8.00000e+00     5.33062e-01
     8.50000e+00     3.06296e-01     8.50000e+00     3.99709e-01     8.50000e+00     4.67508e-01     8.50000e+00     5.58987e-01
     9.00000e+00     2.64037e-01     9.00000e+00     3.69186e-01     9.00000e+00     4.42669e-01     9.00000e+00     5.06124e-01
     9.50000e+00     2.17372e-01     9.50000e+00     3.36999e-01     9.50000e+00     4.16545e-01     9.50000e+00     4.79344e-01
     1.00000e+01     1.65326e-01     1.00000e+01     3.01452e-01     1.00000e+01     3.89208e-01     1.00000e+01     4.54770e-01

