Export File Created with QBlade v0.963 32bit on 01.11.2021 at 17:34:14
          300 RPM (5 TSR)                 300 RPM (6 TSR)                 300 RPM (7 TSR)                 300 RPM (8 TSR)
 	V [m/s]          P [W] 		V [m/s] 	 P [W] 		V [m/s] 	P [W] 		V [m/s] 	P [W]
     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00     1.00000e+00     0.00000e+00
     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00     1.50000e+00     0.00000e+00
     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00     2.00000e+00     0.00000e+00
     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     0.00000e+00     2.50000e+00     5.15513e+00
     3.00000e+00     0.00000e+00     3.00000e+00     3.97318e+00     3.00000e+00     1.57195e+01     3.00000e+00     2.35633e+01
     3.50000e+00     8.95852e+00     3.50000e+00     2.82623e+01     3.50000e+00     4.07961e+01     3.50000e+00     4.94558e+01
     4.00000e+00     3.98404e+01     4.00000e+00     6.06603e+01     4.00000e+00     7.45390e+01     4.00000e+00     8.56401e+01
     4.50000e+00     7.98129e+01     4.50000e+00     1.02749e+02     4.50000e+00     1.19561e+02     4.50000e+00     1.43527e+02
     5.00000e+00     1.29724e+02     5.00000e+00     1.56389e+02     5.00000e+00     1.79307e+02     5.00000e+00     1.83558e+02
     5.50000e+00     1.92073e+02     5.50000e+00     2.24171e+02     5.50000e+00     2.47511e+02     5.50000e+00     2.35621e+02
     6.00000e+00     2.67800e+02     6.00000e+00     3.08314e+02     6.00000e+00     3.17467e+02     6.00000e+00     2.88972e+02
     6.50000e+00     3.59667e+02     6.50000e+00     4.27456e+02     6.50000e+00     3.89064e+02     6.50000e+00     3.41925e+02
     7.00000e+00     4.68457e+02     7.00000e+00     5.09157e+02     7.00000e+00     4.60511e+02     7.00000e+00     3.94653e+02
     7.50000e+00     5.97881e+02     7.50000e+00     6.10417e+02     7.50000e+00     5.31017e+02     7.50000e+00     4.47113e+02
     8.00000e+00     7.77236e+02     8.00000e+00     7.10052e+02     8.00000e+00     6.02779e+02     8.00000e+00     4.98679e+02
     8.50000e+00     9.09376e+02     8.50000e+00     8.10921e+02     8.50000e+00     6.72793e+02     8.50000e+00     5.42809e+02
     9.00000e+00     1.05939e+03     9.00000e+00     9.11178e+02     9.00000e+00     7.37524e+02     9.00000e+00     5.82607e+02
     9.50000e+00     1.21357e+03     9.50000e+00     1.00613e+03     9.50000e+00     7.91238e+02     9.50000e+00     6.19328e+02
     1.00000e+01     1.35969e+03     1.00000e+01     1.09934e+03     1.00000e+01     8.41438e+02     1.00000e+01     6.52548e+02

